ID,Latitud,Longitud,Peso
130,41.7062395,-1.0007934,19.5
131,41.638029,-0.9347968,8.4
132,41.6411477,-0.8724986,18.1
133,41.6597424,-0.932732,15.3
134,41.65115,-0.880324,22.9
135,41.6591328,-0.8995354,9.6
136,41.6507064,-0.867104,13.4
137,41.6447139,-0.9322181,2.2
138,41.6414218,-0.8823755,9.4
139,41.646428,-0.8636416,12.6
140,41.6570612,-0.89319,24.2
141,41.6533526,-0.8758541,9.5
142,41.6410928,-0.9116122,44.8
143,41.6316339,-0.8879402,10.7
144,41.6546442,-0.88573,16.5
145,41.6531689,-0.9080385,8.2
146,41.6503962,-0.8975226,13.2
147,41.6370563,-0.8785118,11.0
148,41.6454429,-0.8643091,15.4
149,41.6454099,-0.8837928,21.4
150,41.6564088,-0.8946169,12.8
151,41.6618126,-0.8792808,20.2
152,41.6458728,-0.8630506,8.4
153,41.6527257,-0.8706788,10.1
154,41.6595043,-0.8982936,12.3
155,41.6706454,-0.8913574,22.9
156,41.646338,-0.8916016,8.5
157,41.6686025,-0.9074494,14.5
158,41.7689168,-1.1173154,12.1
159,41.6356928,-0.8592492,27.7
160,41.6414536,-0.867194,2.3
161,41.7393029,-1.0363685,15.1
162,41.6388114,-0.8984458,14.5
163,41.6518508,-0.9058816,30.7
164,41.5967184,-0.9360925,19.0
165,41.6259192,-0.8769752,32.4
166,41.6383814,-0.8758107,11.5
167,41.6512976,-0.8766134,25.6
168,41.6790395,-0.886522,40.6
169,41.6417491,-0.8711856,15.6
170,41.6526625,-0.9085967,11.9
171,41.6481849,-0.8798911,26.3
172,41.643364,-0.8735257,16.9
173,41.6596784,-0.9328347,16.1
174,41.6484912,-0.8854952,14.6
175,41.6465092,-0.895982,61.1
176,41.6507914,-0.8679801,24.1
177,41.6284016,-0.8863173,8.9
178,41.6458015,-0.8739272,11.5
179,41.6488524,-0.8616066,9.5
180,41.6308495,-0.9137768,11.8
181,41.6515028,-0.8997496,8.2
182,41.6500573,-0.9155472,9.7
183,41.6607486,-0.8602758,22.8
184,41.6535936,-0.8793298,11.1
185,41.6602982,-0.8980867,10.8
186,41.6602183,-0.874132,10.1
187,41.657156,-0.8826972,14.7
188,41.6607059,-0.8995829,11.8
189,41.6557212,-0.8857434,11.6
190,41.6428592,-0.8837801,13.8
191,41.6536366,-0.8868342,17.8
192,41.6491444,-0.8800527,22.2
193,41.668947,-0.886651,9.1
194,41.6456345,-0.8903382,14.6
195,41.6594161,-0.9001428,12.4
196,41.6492428,-0.8979138,10.5
197,41.6537475,-0.9091382,10.9
198,41.8477761,-1.251324,14.3
199,41.6575069,-0.8579016,16.8
200,41.6615834,-0.8735836,14.2
201,41.6481641,-0.8835583,9.8
202,41.6784564,-0.8723066,11.6
203,41.6424377,-0.8826691,25.3
204,41.6413772,-0.8840536,10.2
205,41.6309641,-0.9058944,8.8
206,41.6512901,-0.9000567,9.1
207,41.6410673,-0.8891617,9.4
208,41.6467538,-0.9183319,27.5
209,41.6420682,-0.8890488,10.4
210,41.6431004,-0.9104548,15.6
211,41.6537914,-0.9265027,11.5
212,41.8291193,-0.7688897,12.5
213,41.643905,-0.8671274,9.6
214,41.6494968,-0.873608,9.1
215,41.6706759,-0.8837667,16.4
216,41.6435576,-0.8825874,9.1
217,41.6730045,-0.8737836,13.7
218,41.6274992,-0.8915763,28.1
219,41.6416485,-0.8884154,11.9
220,41.646011,-0.8609054,13.6
221,41.6501095,-0.8627304,11.3
222,41.641856,-0.8920222,8.4
223,41.6529731,-0.9093897,39.7
224,41.6688151,-0.8868904,9.1
225,41.6597449,-0.8770566,13.4
226,41.6387273,-0.8885815,11.6
227,41.6655137,-0.8080306,13.4
228,41.6462197,-0.8630696,10.3
229,41.653666,-0.8864662,24.5
230,41.6368201,-0.8844866,9.6
231,41.6607794,-0.8768898,17.4
232,41.6666596,-0.8282994,11.9
233,41.6377378,-0.9315889,12.6
234,41.6555722,-0.9154375,66.0
235,41.6624011,-0.8800204,23.1
236,41.6414426,-0.8698987,9.0
237,41.6503113,-0.9148548,9.5
238,41.6593283,-0.8995074,9.0
239,41.6456163,-0.8652794,17.8
240,41.6551786,-0.907896,8.8
241,41.6684293,-0.8859314,9.1
242,41.6547903,-0.9090382,16.8
243,41.6490032,-0.8874848,12.1
244,41.6556707,-0.8847086,12.9
245,41.6466653,-0.8891436,10.8
246,41.6609115,-0.8970846,12.1
247,41.6499005,-0.906435,9.8
248,41.6607668,-0.9027654,25.6
249,41.6418148,-0.8887428,11.5
250,41.6454974,-0.8959625,9.9
251,41.6419672,-0.8703922,23.0
252,41.641207,-0.8657542,13.2
253,41.6379494,-0.8910806,26.9
254,41.7666896,-1.1248128,17.3
255,41.6423856,-0.8682716,29.7
256,41.6417798,-0.871256,14.7
257,41.6486445,-0.9134892,45.8
258,41.6350444,-0.878352,8.2
259,41.7117688,-0.9956836,25.1
260,41.6556412,-0.9017862,36.3
261,41.7442679,-1.1622101,13.3
262,41.6418506,-0.8666125,21.9
263,41.6519562,-0.8766098,19.6
264,41.6616469,-0.8628964,17.6
265,41.7046838,-1.0004234,20.8
266,41.6518288,-0.8703244,67.3
267,41.7016764,-0.9971817,52.1
268,41.6540624,-0.9060469,26.4
269,41.6349782,-0.8767468,10.7
270,41.6533784,-0.8801806,11.7
271,41.6443208,-0.8993316,9.6
272,41.6443359,-0.887516,11.2
273,41.640498,-0.8842052,25.1
274,41.6557414,-0.8879252,9.8
275,41.6461709,-0.9133156,28.4
276,41.6436197,-0.9100535,11.5
277,41.6528699,-0.8817622,24.5
278,41.6442346,-0.8908716,12.3
279,41.7067631,-1.0027101,13.5
280,41.6523772,-0.9070808,9.8
281,41.6722106,-0.8922894,26.9
282,41.6315241,-0.9102872,9.6
283,41.6281972,-0.8913504,9.3
284,41.6403461,-0.8884313,28.6
285,41.7137846,-1.0211439,83.9
286,41.6479325,-0.8806254,31.3
287,41.6568115,-0.8918772,28.7
288,41.6351941,-0.8792233,22.9
289,41.6457304,-0.9878,11.7
290,41.6394645,-0.8838832,34.7
291,41.644098,-0.876519,54.6
292,41.6485006,-0.900001,16.3
293,41.6073317,-0.8913364,27.5
294,41.6571723,-0.8826868,9.2
295,41.6578896,-0.870216,11.4
296,41.6365496,-0.8716383,13.8
297,41.6375248,-0.882113,20.0
298,41.643543,-0.8825971,9.1
299,41.6453972,-0.8746428,33.2
300,41.6782048,-0.8714166,12.5
301,41.6500988,-0.8730994,13.7
302,41.6488196,-0.8872879,21.9
303,41.6491826,-0.8593719,9.3
304,41.6366096,-0.8795622,9.8
305,41.6443257,-0.8603538,51.6
306,41.6623651,-0.8977936,20.1
307,41.6468568,-0.8912372,11.3
308,41.6507736,-0.8756476,42.7
309,41.6456315,-0.8713118,12.1
310,41.6628803,-0.862749,48.3
311,41.6436578,-0.8685468,12.2
312,41.6452722,-0.8624057,11.7
313,41.7066264,-1.0028948,12.5
314,41.6656254,-0.8821731,53.5
315,41.663797,-0.8600205,12.0
316,41.647802,-0.88338,16.1
317,41.6534025,-0.9104094,29.1
318,41.6737112,-0.873878,10.1
319,41.6338528,-0.8774015,50.8
320,41.6401042,-0.9079622,49.9
321,41.6475986,-0.9155992,25.4
322,41.6388984,-0.898022,12.7
323,41.638172,-0.8789736,19.0
324,41.6300647,-0.9355256,12.3
325,41.6414716,-0.883976,15.2
326,41.6007029,-0.9239382,10.9
327,41.664048,-0.8600727,23.3
328,41.6384882,-0.8681838,16.0
329,41.66116,-0.8742892,34.2
330,41.5563496,-0.9598328,10.9
331,41.659085,-0.8652018,12.6
332,41.6486989,-0.8894676,14.6
333,41.6417706,-0.888596,12.4
334,41.6443895,-0.8596488,29.8
335,41.6713113,-0.8867676,25.4
336,41.6384836,-0.8695274,33.4
337,41.6369529,-0.877684,30.9
338,41.6269674,-0.879876,9.2
339,41.6476617,-0.8980942,12.0
340,41.6457221,-0.8821197,12.3
341,41.6391135,-0.897823,9.2
342,41.5716224,-0.7439825,11.2
343,41.6451546,-0.8886259,17.4
344,41.6384892,-0.8959518,10.1
345,41.9202843,-1.2559802,36.6
346,41.6505318,-0.9085965,9.3
347,41.6615695,-0.8581093,39.8
348,41.6599634,-0.8957856,40.0
349,41.645082,-0.8917953,13.3
350,41.6437646,-0.9094137,10.7
351,41.6405212,-0.8711062,12.7
352,41.65057,-0.9118059,11.0
353,41.6532811,-0.8848814,11.1
354,41.660948,-0.8944498,15.9
355,41.6513507,-0.8805941,11.4
356,41.6637848,-0.8601192,13.0
357,41.6347406,-0.8768976,12.3
358,41.6450166,-0.8709246,16.7
359,41.6323554,-0.872378,25.0
360,41.6696866,-0.8918981,39.6
361,41.6488684,-0.8699404,28.5
362,41.6448481,-0.866,16.1
363,41.6515562,-0.8822352,10.8
364,41.652293,-0.8972814,23.3
365,41.6500463,-0.8795052,11.1
366,41.6524776,-0.8988255,9.2
367,41.638469,-0.8794056,14.0
368,41.6543504,-0.9000566,11.6
369,41.6526835,-0.8840515,101.0
370,41.6456788,-0.8738238,15.7
371,41.6362728,-0.8785291,33.7
372,41.6507342,-0.897956,26.4
373,41.6530783,-0.9086312,9.4
374,41.6551273,-0.8768882,13.2
375,41.6498511,-0.8884148,17.3
376,41.6480238,-0.9071875,45.4
377,41.6424476,-0.884155,17.3
378,41.6423764,-0.8944642,28.5
379,41.6394258,-0.8810879,31.3
380,41.6417436,-0.8920174,8.8
381,41.6349268,-0.8819788,24.9
382,41.6697766,-0.8765741,25.7
383,41.7067962,-1.0018417,15.7
384,41.647296,-0.8916598,13.3
385,41.7061363,-1.0029365,14.0
386,41.6322,-0.8884279,13.3
387,41.6613014,-0.8959524,13.4
388,41.657013,-0.8882604,9.1
389,41.6507107,-0.911912,56.7
390,41.6555055,-0.888262,10.8
391,41.7061628,-1.0030448,8.1
392,41.655503,-0.9092326,31.2
393,41.6610127,-0.8943814,11.1
394,41.6273971,-0.8920969,9.0
395,41.6301296,-0.8870326,11.4
396,41.6371019,-0.8811212,12.1
397,41.6456872,-0.894594,10.9
398,41.6726936,-0.8299128,12.9
399,41.7717844,-0.8308085,10.9
400,41.6505655,-0.8870695,32.9
401,41.6319712,-0.8796688,17.9
402,41.6496561,-0.8730389,9.9
403,41.6721644,-0.8839361,12.5
404,41.6421893,-0.8679094,11.4
405,41.6611362,-0.8628924,13.1
406,41.6563381,-0.8891851,10.3
407,41.6008918,-0.9221033,25.8
408,41.6267924,-0.8823868,10.0
409,41.632133,-0.9088598,11.8
410,41.6355094,-0.8796534,30.6
411,41.6423502,-0.8852609,34.9
412,41.6497882,-0.8909877,11.6
413,41.6504025,-0.86026,8.2
414,41.6555436,-0.8954621,25.2
415,41.640756,-0.9083628,50.9
416,41.6450763,-0.8860404,55.3
417,41.6539368,-0.8774568,25.3
418,41.6283471,-0.8877394,21.0
419,41.6716976,-0.8861752,14.6
420,41.6561468,-0.8788664,22.4
421,41.5709583,-0.738625,8.9
422,41.6548429,-0.8940846,10.8
423,41.7061984,-1.0026025,9.4
424,41.6620014,-0.9381049,48.2
425,41.6451422,-0.9148958,13.2
426,41.6438998,-0.8683204,13.8
427,41.6483694,-0.9160081,25.7
428,41.650501,-0.90501,8.8
429,41.6502218,-0.89643,10.0
430,41.6598972,-0.9327352,13.0
431,41.6535374,-0.881458,13.5
432,41.6503333,-0.8603258,8.2
433,41.648067,-0.8809194,23.1
434,41.6467506,-0.8624505,16.1
435,41.6611368,-0.8776531,24.1
436,41.6349656,-0.8875782,13.1
437,41.6548967,-0.898333,16.1
438,41.6504788,-0.8790062,9.1
439,41.635842,-0.874307,12.5
440,41.6392589,-0.8980344,10.0
441,41.6578532,-0.9302731,11.4
442,41.6481497,-0.9010932,9.3
443,41.657062,-0.8911086,40.7
444,41.6430592,-0.8655838,9.0
445,41.6480823,-0.8999346,9.1
446,41.6284916,-0.8848356,17.0
447,41.6538086,-0.8819337,11.0
448,41.6672671,-0.8780622,9.8
449,41.6399266,-0.8707827,25.6
450,41.6402699,-0.896482,9.5
451,41.6431269,-0.8831189,12.1
452,41.6497135,-0.8969484,2.0
453,41.6456805,-0.8901642,8.7
454,41.6290094,-0.8819026,9.3
455,41.6489033,-0.8874025,15.1
456,41.5705546,-0.7369204,97.3
457,41.6267013,-0.8841004,21.6
458,41.6447494,-0.862451,15.7
459,41.6275832,-0.8915984,9.3
460,41.5789239,-1.116926,11.8
461,41.650973,-0.8947144,11.2
462,41.6615829,-0.8734646,10.3
463,41.6455164,-0.8903608,9.2
464,41.6478194,-0.894275,27.2
465,41.6407506,-0.8703202,11.0
466,41.6582594,-0.870918,9.1
467,41.6521695,-0.9068024,20.0
468,41.6345654,-0.876879,15.1
469,41.6451424,-0.8829702,21.2
470,41.6725532,-0.8720423,9.1
471,41.6612334,-0.8791412,11.5
472,41.6528106,-0.8695392,34.8
473,41.654066,-0.9064562,9.2
474,41.6711803,-0.8916131,37.5
475,41.6424439,-0.8832306,14.0
476,41.642535,-0.8720892,11.0
477,41.6605369,-0.8985566,48.9
478,41.707515,-1.0014754,12.8
479,41.6535944,-0.8846909,11.3
480,41.6485727,-0.9230118,25.4
481,41.6631601,-0.897864,9.6
482,41.638972,-0.897954,20.0
483,41.6492665,-0.8599198,9.5
484,41.6436884,-0.8965291,8.9
485,41.6447703,-0.8621661,13.8
486,41.6453376,-0.8979801,22.9
487,41.6889646,-0.874398,10.8
488,41.57286,-0.7409521,12.0
489,41.7065684,-1.0020634,21.0
490,41.6548092,-0.898449,12.0
491,41.6830942,-0.8719822,18.4
492,41.6518509,-0.903434,24.9
493,41.6780718,-0.8728485,11.8
494,41.6454644,-0.8624494,23.2
495,41.6260662,-0.8811514,9.1
496,41.6388243,-0.8980908,16.1
497,41.62979,-0.880893,67.0
498,41.6414224,-0.872238,17.6
499,41.6432351,-0.8688912,38.6
500,41.6464556,-0.8700652,15.5
501,41.6497801,-0.8772805,15.3
502,41.6446168,-0.8748309,15.0
503,41.6457561,-0.8654198,30.6
504,41.6626546,-0.879828,14.2
505,41.6451671,-0.8711716,30.1
506,41.6450665,-0.8655774,21.3
507,41.6450082,-0.8751856,22.4
508,41.6505467,-0.9109694,17.9
509,41.6329012,-0.8864198,39.2
510,41.649173,-0.8592822,12.0
511,41.6496993,-0.9141707,49.7
512,41.868225,-0.787474,15.3
513,41.6351521,-0.8871492,13.0
514,41.6495882,-0.8631552,22.8
515,41.5931304,-0.9311534,28.7
516,41.6473235,-0.8813049,27.7
517,41.6692879,-0.8832454,31.3
518,41.6535054,-0.875743,10.8
519,41.6581752,-0.9363986,13.6
520,41.6458778,-0.890242,9.2
521,41.6440071,-0.8933822,12.3
522,41.6415741,-0.8760189,30.6
523,41.6516346,-0.873267,9.4
524,41.6430364,-0.8893026,29.1
525,41.6475225,-0.8643732,29.0
526,41.6274526,-0.8918376,9.0
527,41.4768394,-1.3825852,13.8
528,41.6610644,-0.8946052,12.2
529,41.6543752,-0.9000052,12.7
530,41.6481433,-0.8750831,19.4
531,41.6450868,-0.8676654,15.6
532,41.6549965,-0.8769356,20.3
533,41.6475844,-0.89601,11.3
534,41.6434972,-0.8888012,23.1
535,41.7393415,-1.0367024,11.2
536,41.7380756,-1.1004788,40.4
537,41.6428026,-0.8927754,11.9
538,41.6422194,-0.8828836,9.8
539,41.6549548,-0.8777906,10.2
540,41.6459493,-0.8752196,31.9
541,41.6418078,-0.8683044,9.5
542,41.6436838,-0.866792,11.4
543,41.6385424,-0.8846544,16.4
544,41.6273604,-0.91201,16.8
545,41.6556138,-0.8886056,12.7
546,41.6269016,-0.9116549,18.1
547,41.7694758,-0.8239601,13.0
548,41.6580125,-0.936383,14.6
549,41.6522296,-0.87668,19.7
550,41.6404032,-0.8840418,26.0
551,41.649094,-0.9220752,22.4
552,41.6386436,-0.8744122,12.5
553,41.6467756,-0.922894,14.6
554,41.6255214,-0.9263891,15.3
555,41.6697166,-0.8761354,20.8
556,41.6383956,-0.8976242,16.2
557,41.6688369,-0.886998,9.1
558,41.6403154,-0.9080536,42.0
559,41.6503876,-0.8717803,12.1
560,41.6459552,-0.9135219,28.6
561,41.6559698,-0.9016128,13.4
562,41.5706115,-0.7387283,26.3
563,41.6619862,-0.8023658,43.4
564,41.6611192,-0.8733682,18.4
565,41.649922,-0.8895172,13.7
566,41.6243486,-0.8754544,9.6
567,41.6529659,-0.9101444,20.6
568,41.6725194,-0.8773752,23.1
569,41.6390903,-0.883659,23.0
570,41.6488098,-0.8694778,54.9
571,41.6365764,-0.8764522,12.9
572,41.6478534,-0.8942842,17.8
573,41.6403497,-0.8666823,27.1
574,41.6496984,-0.9047678,15.6
575,41.6417941,-0.8886742,9.3
576,41.662332,-0.8799006,27.9
577,41.6430984,-0.8657601,39.5
578,41.6535352,-0.8743898,10.9
579,41.6366984,-0.8762458,15.1
580,41.6748761,-0.8716249,13.9
581,41.6454273,-0.8645608,22.8
582,41.638732,-0.8694779,9.2
583,41.6563651,-0.8842612,8.8
584,41.6450644,-0.8643601,12.3
585,41.6535914,-0.9104123,53.0
586,41.6504573,-0.9147624,16.5
587,41.6532614,-0.9208196,11.8
588,41.6279271,-0.8916325,8.3
589,41.6443374,-0.8641466,10.4
590,41.627314,-0.8798974,19.9
591,41.6747647,-0.883609,18.0
592,41.6423265,-0.8918947,10.0
593,41.6496666,-0.8624936,23.3
594,41.6690708,-0.8876926,9.3
595,41.6605681,-0.8668615,11.2
596,41.6444809,-0.8965353,11.5
597,41.7076812,-1.0012201,9.7
598,41.6403146,-0.8883424,23.9
599,41.6450011,-0.8668246,12.7
600,41.6492606,-0.8911335,37.1
601,41.556421,-0.9597347,12.5
602,41.717091,-1.0213447,11.9
603,41.6353166,-0.8754488,26.1
604,41.6454514,-0.8664482,16.9
605,41.6275903,-0.8921546,17.4
606,41.6387372,-0.8801549,9.0
607,41.641266,-0.8926854,16.1
608,41.6419226,-0.891968,8.0
609,41.715416,-0.9957242,40.9
610,41.6363956,-0.8635632,16.2
611,41.6585401,-0.8746179,12.5
612,41.6314485,-0.9102094,13.4
613,41.6541152,-0.880456,9.7
614,41.6730088,-0.8738946,12.5
615,41.6258584,-0.8782166,22.6
616,41.6329927,-0.8888188,8.8
617,41.6413634,-0.871565,16.5
618,41.6333477,-0.8747322,35.2
619,41.6333109,-0.8777017,18.8
620,41.641045,-0.8891605,12.2
621,41.6521307,-0.9112724,9.1
622,41.5918316,-0.9416221,41.9
623,41.6490632,-0.8986522,48.3
624,41.6569518,-0.8825778,22.8
625,41.7067808,-1.0026037,11.3
626,41.6402718,-0.8854722,18.2
627,41.6427019,-0.9112204,9.0
628,41.6418339,-0.8888061,12.1
629,41.639102,-0.9344881,9.9
630,41.6458217,-0.8910635,13.5
631,41.6464976,-0.8824232,11.1
632,41.6255932,-0.8783535,16.3
633,41.7115451,-0.9956303,13.9
634,41.6480478,-0.9018177,8.3
635,41.6435434,-0.9099872,11.7
636,41.658382,-0.936518,10.2
637,41.6501588,-0.88138,9.7
638,41.657292,-0.884359,16.2
639,41.6304121,-0.88684,10.9
640,41.64828,-0.8604505,10.6
641,41.6444963,-0.8803106,55.6
642,41.6399628,-0.8944449,14.3
643,41.6621671,-0.8788676,32.7
644,41.6472722,-0.9011526,36.1
645,41.7078101,-0.9998948,13.9
646,41.6350508,-0.9119228,80.4
647,41.6521634,-0.9029982,12.7
648,41.6504774,-0.9077234,8.6
649,41.6487987,-0.8613396,12.7
650,41.6472086,-0.8819812,53.8
651,41.627116,-0.8846499,10.9
652,41.6488557,-0.9117477,20.0
653,41.6500993,-0.8716719,10.2
654,41.668976,-0.887003,9.1
655,41.652218,-0.8972634,34.1
656,41.6380099,-0.8834516,19.4
657,41.6449098,-0.8815833,13.4
658,41.6240287,-0.8757272,23.8
659,41.6431776,-0.8719752,13.1
660,41.6841446,-0.8729268,13.7
661,41.5992793,-1.2811911,13.1
662,41.6562202,-0.8930303,12.6
663,41.6390566,-0.8811182,60.0
664,41.6459668,-0.8629829,11.2
665,41.6669125,-0.832219,11.5
666,41.6553743,-0.9047958,23.3
667,41.6408811,-0.8886092,13.2
668,41.6487735,-0.889555,10.4
669,41.6510223,-0.9011609,15.4
670,41.6392474,-0.8845106,54.3
671,41.6520345,-0.9127807,10.3
672,41.6721302,-0.885139,24.3
673,41.6717656,-0.8861389,13.5
674,41.6506241,-0.8680679,32.5
675,41.6358209,-0.878214,13.3
676,41.6583332,-0.8660175,17.6
677,41.6327774,-0.8767924,13.7
678,41.6384936,-0.8688296,11.0
679,41.6491088,-0.8819388,24.2
680,41.6250021,-0.8780562,35.6
681,41.6367352,-0.8773517,9.5
682,41.65421,-0.8983324,43.7
683,41.6713802,-0.8874826,26.5
684,41.6369256,-0.8784005,9.9
685,41.6468579,-0.8924176,22.1
686,41.645336,-0.8929686,11.4
687,41.6454564,-0.8896078,29.6
688,41.6500702,-0.8231876,18.6
689,41.6513762,-0.9133958,22.0
690,41.7374235,-1.0995426,32.1
691,41.5567703,-0.9605562,10.0
692,41.6715242,-0.887982,29.7
693,41.6450664,-0.8710944,9.9
694,41.6612079,-0.8986119,12.6
695,41.6291739,-0.8857636,16.5
696,41.6510418,-0.8947738,10.7
697,41.6498983,-0.8774104,10.7
698,41.6440464,-0.8882236,9.8
699,41.6499878,-0.8626042,8.7
700,41.6570428,-0.8575788,27.3
701,41.6523776,-0.8755947,13.0
702,41.6570716,-0.8647142,10.3
703,41.6492164,-0.8872162,12.7
704,41.6455705,-0.8888165,12.9
705,41.6775722,-0.8714586,95.0
706,41.6504671,-0.8808838,12.3
707,41.6564794,-0.9196629,13.2
708,41.6613289,-0.8985052,15.3
709,41.6707771,-0.8837674,18.0
710,41.6770275,-0.861135,13.3
711,41.639515,-0.8740864,12.3
712,41.6476614,-0.8961218,10.3
713,41.6402884,-0.9373228,11.7
714,41.6507814,-0.9050631,8.4
715,41.6391126,-0.8778064,13.0
716,41.6504085,-0.8602586,8.2
717,41.6544246,-0.8888304,9.2
718,41.6429688,-0.8891642,12.6
719,41.631023,-0.9081691,13.4
720,41.6352832,-0.8811725,14.5
721,41.6431488,-0.8935193,10.6
722,41.651267,-0.9160178,10.8
723,41.6556196,-0.8660078,18.9
724,41.6435852,-0.86721,23.5
725,41.6367908,-0.8760417,25.9
726,41.6315868,-0.8874707,34.1
727,41.7010438,-0.9972414,14.4
728,41.6615513,-0.8982244,43.5
729,41.643045,-0.8896622,28.4
730,41.6293982,-0.9296882,13.0
731,41.6459123,-0.8652163,12.6
732,41.6424353,-0.8944238,12.6
733,41.6725008,-0.8724804,19.8
734,41.6433898,-0.8690402,9.0
735,41.672102,-0.8851036,15.0
736,41.6554128,-0.9042158,28.3
737,41.6451084,-0.891436,13.7
738,41.6416742,-0.883485,33.1
739,41.6400525,-0.9854973,13.4
740,41.6454202,-0.8740542,9.9
741,41.6461429,-0.8889758,22.1
742,41.6419767,-0.8890132,11.5
743,41.6440566,-0.8952464,17.5
744,41.7696952,-0.824117,11.7
745,41.6630688,-0.872236,13.1
